"-- All --",--Todos--
"-- First Please Select a Website --","--Por favor seleccione un sitio web--"
"-- No Theme --","-Sin tema--"
"-- None --","-- Ninguno --"
"-- Please Select --","-- Por favor, seleccione --"
"-- Please select --","-- Por favor, seleccione --"
"-- Please Select --",--Seleccione--
"-- Please select --","-- Por favor, seleccione --"
"-- Please Select --",--Seleccione--
"-- Please Select a Category --","--Por favor, seleccione una categoría--"
"-- Please Select Billing Agreement--","-- Por favor, seleccione el acuerdo de facturación--"
"-- Select --","-- Seleccione --"
"--Please Select--",--Seleccione--
"General: received payment of a type not belonging to the other T00xx categories","General: pago recibido de una clase no perteneciente a las otras T00xx categorías"
"General: reversal of a type not belonging to the other T11xx categories","General: revocación de una clase no perteneciente a las otras T01xx categorías"
"General: temporary hold of a type not belonging to the other T15xx categories","General: cargo temporal de una clase no perteneciente a las otras T15xx categorías"
"General: Use of PayPal account for purchasing as well as receiving payments","General: Uso de la cuenta PayPal tanto para comprar como para recibir pagos"
"General: Withdrawal from PayPal Account","General: Retirada de fondos desde la cuenta de PayPal"
"General: Withdrawal to Non-Bank Entity","General: Retirada de fondos a una Entidad No Bancaria"
"General. Product no longer supported","General. Este producto ya no está admitido"
Generate,Generar
"Generate Gift Card Account when Order Item is","Generar cuenta de tarjeta de regalo cuando se procede al orden"
"Generate Human-Friendly Customer ID","Generar ID de cliente amigable"
"Generate Products","Generar productos"
"Generate Schedules Every","Generar programas cada"
"Generated under Insights in Manage data -> API Keys -> Insert Keys","Generado en Insights en Manage data -> API Keys -> Insert Keys"
"Generation Settings","Ajuste generacinal"
"Generic Pages","Páginas genéricas"
"Geolocation inconsistencies. The customer’s email domain, phone number, billing address, shipping address, or IP address is suspicious","Inconsistencias de la geolocalización. El dominio de correo electrónico, número de teléfono, dirección de facturación, dirección de envío o dirección IP del cliente son sospechosos"
"Get Credentials from PayPal","Obtenga sus credenciales de PayPal"
"Get Customer","Obtener cliente"
"Get Feed","Obtener fuente"
"Get Payment Update","Recibir la actualización de pago"
"Get Publisher ID from PayPal","Obtenga la ID del editor de PayPal"
"Get shipping methods and rates","Obtener métodos de envío y tarifas"
"Get Video Information","Obtener información de vídeo"
Gift,Regalo
"Gift Card","Tarjeta de regalo"
"Gift Card ""%1"" was added.","Se agregó la tarjeta de regalo""%1""."
"Gift Card ""%1"" was redeemed.","Se canjeó la tarjeta de regalo""%1""."
"Gift Card ""%1"" was removed.","Se eliminó la tarjeta de regalo""%1""."
"Gift Card (%1)","Tarjeta de regalo (%1)"
"Gift Card Account","Cuentas de la tarjeta de regalo"
"Gift card account %1 balance is lower than the charged amount.","Regalo tarjeta %1 saldo es inferior a la cantidad cargada."
"Gift card account %1 has a zero balance.","Cuenta de regalos %1 tiene saldo cero."
"Gift card account %1 is expired.","La tarjeta de regalo %1 esta vencida."
"Gift card account %1 is not enabled.","La cuenta de tarjeta de regalo %1 no está habilitada."
"Gift Card Account General Settings","Configuración de cuenta de tarjeta de regalo"
"Gift Card Accounts","Cuentas de la tarjeta de regalo"
"Gift Card amount applied to order:","Tarjeta de regalo aplicada en el pedido:"
"Gift Card Code","Código de la tarjeta de regalo"
"Gift Card Code:","Código de la tarjeta de regalo:"
"Gift Card Code: %code","Código de tarjeta de regalo: %code"
"Gift Card Codes:","Codigos de tarjeta regalo:"
"Gift Card Email Sender","Remitente de email de tarjeta de regalo"
"Gift Card Email Settings","Configuración de email de tarjeta de regalo"
"Gift Card General Settings","Configuración General de tarjetas de regalo"
"Gift Card Information","Información de la tarjeta de regalo"
"Gift Card Is Redeemable","La Tarjeta regalo es canjeable"
"Gift Card Lifetime","Tiempo de vida de tarjeta de regalo"
"Gift Card max amount is %1","Cantidad máxima de la tarjeta de regalo es %1"
"Gift Card Message","Mensaje de la tarjeta de regalo"
"Gift Card min amount is %1","Cantidad mínima de la tarjeta de regalo es %1"
"Gift Card Notification Email Sender","Remitente de email de notificación de tarjeta de regalo"
"Gift Card Notification Email Template","Plantilla de email de notificación de tarjeta de regalo"
"Gift Card Recipient","Destinatario del Tarjeta de Regalo"
"Gift Card Redeemed: %1. For customer #%2.","Tarjeta del regalo canjeada: %1. Para cliente #%2."
"Gift Card Sender","Emisor de tarjeta de regalo"
"Gift Card Template","Plantilla de tarjeta de regalo"
"Gift Card Type","Tipo de tarjeta de regalo"
"Gift Card:","Tarjeta de regalo:"
"Gift Cards","Tarjeta de regalo"
"Gift Certificate Payment: purchase of Gift Certificate","Pago de cheque regalo: compra de cheque regalo"
"Gift Certificate Redemption","Canjear cheque regalo"
"Gift Message","Mensaje de regalo"
"Gift Message (optional)","Mensaje de regalo (opcional)"
"Gift Message for the Entire Order","Mensaje de regalo por todo el pedido"
"Gift Message for this Order","Mensaje de regalo para este pedido"
"Gift Message for This Order","Regalo mensaje para este pedido"
"Gift Message is not available","Mensaje de regalo no está disponible"
"Gift Message Maximum Length","Longitud máxima del mensaje de regalo"
"Gift Messages are not applicable for empty cart","Los mensajes de regalo no son aplicables para un carrito vacío"
"Gift Messages are not applicable for empty order","Mensajes de regalo no es aplicable para un pedido vacío"
"Gift Messages are not applicable for virtual products","Los mensajes de regalo no son aplicables a artículos virtuales"
"Gift Options","Opciones de regalo"
"Gift options","Opciones de regalo"
"Gift Options","Opciones de regalo"
"Gift Options for","Opciones de regalo para"
"Gift Options for Individual Items","Opciones de regalo para artículos individuales."
"Gift Options for the Entire Order","Opciones de regalo para todo el pedido"
"Gift Order. The street address, city, state, or country of the billing and shipping addresses do not correlate","Pedido de Regalo. La dirección, ciudad, estado o el país de facturación y envío no son correspondientes"
"Gift receipt","Recibo de regalo"
"Gift Receipt","Recibo de regalo"
"Gift Registry","Registro de regalo"
"Gift Registry created at %store_name","Registro de regalo creado en %store_name"
"Gift Registry Details","Detalles de Registro de regalo"
"Gift Registry Entity","Entidad de registro de regalo"
"Gift Registry ID","ID de registro de regalo"
"Gift Registry ID Search","Búsqueda de ID de registro de regalo"
"Gift Registry Info","Información de registro de regalo"
"Gift Registry Items","Articulos de Registro de regalos"
"Gift Registry Items Updated","Artículos de registro de regalo actualizados"
"Gift Registry Quick Search Form","Formulario de búsqueda rápida de registro de regalo"
"Gift Registry Search","Búsqueda de registro de regalo"
"Gift Registry Section","Sección de registro de regalo"
"Gift Registry shared at %store_name","Registro de regalo compartido en %store_name"
"Gift Registry Sharing","Compartir registro de regalo"
"Gift Registry Type","Tipo de registro de regalo"
"Gift Registry Types","Tipo de registro de regalo"
"Gift Registry Update","Actualización de registro de regalo"
"Gift Registry updated at %store_name","Registro de regalo actualizado en %store_name"
"Gift Registry:","Registro de regalo:"
"Gift Wrap Design","Diseño de envoltura de regalo"
"Gift Wrapping","Envoltura de regalo"
"Gift wrapping","Envoltura de regalo"
"Gift Wrapping Design","Diseño de envoltura de regalo"
"Gift Wrapping for the Entire Order","Papel para regalo para el pedido completo"
"Gift Wrapping Information","Información de la envoltura de regalo"
"Gift Wrapping with specified ID ""%1"" not found.","Regalo con ID especificado ""%1"" no encontrado."
Girth,Circunferencia
Global,General
"Global Search","Búsqueda global"
"Globally Editable","Editable globalmente"
"Globalmail business","Negocio de correo global"
"Go back",Retroceder
"Go back to product details","Volver a detalles del producto"
"Go to Archive","Ir a archivo"
"Go to Checkout","Ir a pagar"
"Go to Details Page","Ir a la página de detalles"
"Go to Home Page","Ir a la página de inicio"
"Go to Review Your Order","Ir a revisar su pedido"
"Go To Sale","Ir a la venta"
"Go to Shipping Information","Ir a información del despacho"
"Go to Top","Ir a la parte superior"
"Go to Wish List","Ir a lista de deseos"
"Go Today",Hoy
"Google Analytics Content Experiments Code","Código de experimento de contenido de Google Analytics"
"Google Analytics Enhanced Ecommerce Settings","Google Analytics Ajustes de comercio electrónico mejorado"
"Google Tag Manager","Gestión de etiquetas Google"
"Grand Total","Total general"
"grand total","total general"
"Grand Total","Suma total"
"Grand Total (Base)","Gran Total (Base)"
"Grand Total (Excl. Tax)","Total general (sin impuestos)"
"Grand Total (Excl.Tax)","Total (impuestos no incluídos)"
"Grand Total (Incl. Tax)","Total general (con impuestos)"
"Grand Total (Incl.Tax)","Total (impuestos incluídos)"
"Grand Total (Purchased)","Gran Total (comprado)"
"Grand Total Excl. Tax","Total sin incluir impuestos"
"Grand Total Incl. Tax","Total incluyendo impuestos"
"Grand Total to be Charged","Importe total a cobrar"
"Grand Total:",Gesamtbetrag:
"greater than","mayor que"
"Greater than","Mayor que"
"Greater than or equal to","Mayor o igual a"
Grid,Parrilla
"Grid (default) / List","Tabelle (Standard)/Liste"
"Grid Only","Cuadrícula sólo"
"Gross Amount","Total bruto"
Ground,"Vía terrestre"
"Ground Commercial","Vía terrestre Comercial"
"Ground Residential","Vía terrestre Residencial"
Group,Grupo
"Group Code","Código de grupo"
"Group for Invalid VAT ID","Grupo para ID del IVA no válido"
"Group for Valid VAT ID - Domestic","Grupo para ID del IVA válido - Doméstico"
"Group for Valid VAT ID - Intra-Union","Grupo para ID del IVA válido - Intraunión"
"Group Information","Información del grupo"
"Group Label","Etiqueta de grupo"
"Group Name","Nombre del grupo"
"Group price must be a number greater than 0.","Precio de grupo debe ser un número mayor que 0."
"Group was removed","Grupo fue eliminado"
"Group with id ""%1"" does not exist.","El grupo con id ""%1"" no existe."
"Grouped Product Image","Imagen de artículo agrupado"
"Grouped product items","Elementos de artículos agrupados"
"Grouped Products","Artículos agrupados"
Groups,Grupos
Guest,Invitado
"Guest checkout is disabled.","Pago de invitado está deshabilitado."
"Guest checkout will only work with shareable.","La facturación con visitantes sólo funcionará si se puede compartir."
"Handling Applied","Gastos de tramitación aplicados"
"Handling Fee","Gastos de tramitación"
has,ha
"Has State/Province","Tiene Estado/provincia"
"Have a gift card?","¿Tiene una tarjeta de regalo?"
Header,Encabezado
"Header (center)","Cabecera (centro)"
"Header Background Color","Color de fondo de cabecera"
"Header Border Color","Color del borde de la cabecera"
"Header Image URL","URL de la imagen de la cabecera"
"Header Template","Plantilla de cabecera"
Height,Altura
"Height, width and length should be equal or greater than %1","Altura, anchura y longitud deben ser igual o mayor que %1"
hello,hola
"Hello,","Hola,"
Help,Ayuda
"Help Us Keep Magento Healthy","Ayúdenos a que Magento siga funcionando correctamente"
here,aquí
Hidden,Escondido
"Hidden Virtual PayPal Debit Card Transaction","Transacción oculta de tarjeta virtual de Débito PayPal"
"Hide Contact Information","Ocultar la información de contacto"
"Hide Customer IP","Esconder al cliente IP"
"Hide Details","Ocultar detalles"
"Hide from Product Page","Ocultar página de producto"
Hierarchy,Jerarquía
"High number of account numbers. The customer used more than six credit cards numbers in the last six months","Alta cantidad de números de cuenta. El cliente utilizó más de seis números de tarjetas de crédito en los últimos seis meses"
History,Historia
"History Cleanup Every","Borrar el historial cada"
Hits,Visitas
Hold,Retener
hold,Retener
Hold,Reservar
"Hold for Dispute Investigation","Manténgase a la espera de la investigación sobre la disputa"
Home,"Home"
